Date,Time,T_heater,T_liquid,PWM
09-11-2023_18-30-13,0.0,25.36,24.2,0
09-11-2023_18-30-13,0.0,25.35,24.19,0
09-11-2023_18-30-13,0.0,25.35,24.21,0
09-11-2023_18-30-13,0.0,25.36,24.22,0
09-11-2023_18-30-14,0.0,25.36,24.21,0
09-11-2023_18-30-14,0.0002777777777777778,25.36,24.2,0
09-11-2023_18-30-14,0.0002777777777777778,25.37,24.21,0
09-11-2023_18-30-14,0.0002777777777777778,25.36,24.2,0
09-11-2023_18-30-15,0.0002777777777777778,25.37,24.2,0
09-11-2023_18-30-15,0.0005555555555555556,25.35,24.19,0
09-11-2023_18-30-15,0.0005555555555555556,25.37,24.2,0
09-11-2023_18-30-15,0.0005555555555555556,25.36,24.18,0
09-11-2023_18-30-16,0.0005555555555555556,25.36,24.22,0
09-11-2023_18-30-16,0.0008333333333333334,25.36,24.21,0
09-11-2023_18-30-16,0.0008333333333333334,25.36,24.21,0
09-11-2023_18-30-16,0.0008333333333333334,25.36,24.21,0
09-11-2023_18-30-17,0.0008333333333333334,25.36,24.2,0
09-11-2023_18-30-17,0.0011111111111111111,25.36,24.2,0
09-11-2023_18-30-17,0.0011111111111111111,25.36,24.21,0
09-11-2023_18-30-17,0.0011111111111111111,25.35,24.21,0
09-11-2023_18-30-18,0.0011111111111111111,25.35,24.21,0
09-11-2023_18-30-18,0.001388888888888889,25.36,24.21,0
09-11-2023_18-30-18,0.001388888888888889,25.37,24.17,0
09-11-2023_18-30-18,0.001388888888888889,25.36,24.21,0
09-11-2023_18-30-19,0.001388888888888889,25.36,24.21,0
09-11-2023_18-30-19,0.0016666666666666668,25.36,24.23,0
09-11-2023_18-30-19,0.0016666666666666668,25.35,24.2,0
09-11-2023_18-30-19,0.0016666666666666668,25.36,24.18,0
09-11-2023_18-30-20,0.0016666666666666668,25.35,24.19,0
09-11-2023_18-30-20,0.0019444444444444444,25.35,24.18,0
09-11-2023_18-30-20,0.0019444444444444444,25.35,24.22,0
09-11-2023_18-30-20,0.0019444444444444444,25.35,24.19,0
09-11-2023_18-30-21,0.0019444444444444444,25.35,24.19,0
09-11-2023_18-30-21,0.0022222222222222222,25.35,24.2,0
09-11-2023_18-30-21,0.0022222222222222222,25.36,24.19,0
