Date,Time,T_heater,T_liquid,PWM
09-11-2023_16-30-33,0.0,24.49,24.93,0
09-11-2023_16-30-33,0.0,24.49,24.94,0
09-11-2023_16-30-33,0.0,24.49,24.95,0
09-11-2023_16-30-33,0.0,24.49,24.94,0
09-11-2023_16-30-34,0.0,24.49,24.94,0
09-11-2023_16-30-34,0.0002777777777777778,24.49,24.94,0
09-11-2023_16-30-34,0.0002777777777777778,24.49,24.95,0
09-11-2023_16-30-34,0.0002777777777777778,24.48,24.94,0
09-11-2023_16-30-35,0.0002777777777777778,24.49,24.94,0
09-11-2023_16-30-35,0.0005555555555555556,24.48,24.93,0
09-11-2023_16-30-35,0.0005555555555555556,24.48,24.93,0
09-11-2023_16-30-35,0.0005555555555555556,24.48,24.93,0
09-11-2023_16-30-36,0.0005555555555555556,24.48,24.92,0
09-11-2023_16-30-36,0.0008333333333333334,24.48,24.91,0
09-11-2023_16-30-36,0.0008333333333333334,24.48,24.9,0
09-11-2023_16-30-36,0.0008333333333333334,24.48,24.89,0
09-11-2023_16-30-37,0.0008333333333333334,24.47,24.89,0
09-11-2023_16-30-37,0.0011111111111111111,24.47,24.88,0
09-11-2023_16-30-37,0.0011111111111111111,24.48,24.86,0
09-11-2023_16-30-37,0.0011111111111111111,24.47,24.85,0
09-11-2023_16-30-38,0.0011111111111111111,24.47,24.85,0
09-11-2023_16-30-38,0.001388888888888889,24.47,24.84,0
09-11-2023_16-30-38,0.001388888888888889,24.47,24.83,0
09-11-2023_16-30-38,0.001388888888888889,24.47,24.83,0
09-11-2023_16-30-39,0.001388888888888889,24.47,24.83,0
09-11-2023_16-30-39,0.0016666666666666668,24.47,24.82,0
09-11-2023_16-30-39,0.0016666666666666668,24.47,24.82,0
09-11-2023_16-30-39,0.0016666666666666668,24.47,24.81,0
09-11-2023_16-30-40,0.0016666666666666668,24.47,24.81,0
09-11-2023_16-30-40,0.0019444444444444444,24.47,24.81,0
09-11-2023_16-30-40,0.0019444444444444444,24.47,24.81,0
09-11-2023_16-30-40,0.0019444444444444444,24.47,24.81,0
09-11-2023_16-30-41,0.0019444444444444444,24.47,24.82,0
09-11-2023_16-30-41,0.0022222222222222222,24.46,24.81,0
09-11-2023_16-30-41,0.0022222222222222222,24.46,24.81,0
09-11-2023_16-30-41,0.0022222222222222222,24.46,24.81,0
09-11-2023_16-30-42,0.0022222222222222222,24.46,24.82,0
09-11-2023_16-30-42,0.0025,24.46,24.81,0
09-11-2023_16-30-42,0.0025,24.46,24.81,0
09-11-2023_16-30-42,0.0025,24.46,24.82,0
09-11-2023_16-30-43,0.0025,24.47,24.82,0
09-11-2023_16-30-43,0.002777777777777778,24.46,24.82,0
09-11-2023_16-30-43,0.002777777777777778,24.46,24.83,0
09-11-2023_16-30-43,0.002777777777777778,24.46,24.83,0
09-11-2023_16-30-44,0.002777777777777778,24.46,24.84,0
09-11-2023_16-30-44,0.0030555555555555557,24.47,24.84,0
09-11-2023_16-30-44,0.0030555555555555557,24.46,24.84,0
09-11-2023_16-30-44,0.0030555555555555557,24.46,24.84,0
09-11-2023_16-30-45,0.0030555555555555557,24.46,24.85,0
09-11-2023_16-30-45,0.0033333333333333335,24.46,24.85,0
09-11-2023_16-30-45,0.0033333333333333335,24.46,24.86,0
09-11-2023_16-30-45,0.0033333333333333335,24.46,24.86,0
09-11-2023_16-30-46,0.0033333333333333335,24.47,24.87,0
09-11-2023_16-30-46,0.003611111111111111,24.47,24.87,0
09-11-2023_16-30-46,0.003611111111111111,24.46,24.88,0
09-11-2023_16-30-46,0.003611111111111111,24.46,24.88,0
09-11-2023_16-30-47,0.003611111111111111,24.47,24.89,0
09-11-2023_16-30-47,0.0038888888888888888,24.47,24.9,0
09-11-2023_16-30-47,0.0038888888888888888,24.47,24.9,0
09-11-2023_16-30-47,0.0038888888888888888,24.47,24.9,0
09-11-2023_16-30-48,0.0038888888888888888,24.47,24.91,0
