Date,Time,T_heater,T_liquid,PWM
09-11-2023_17-18-00,0.0,24.73,24.39,0
09-11-2023_17-18-00,0.0,24.73,24.41,0
09-11-2023_17-18-01,0.0,24.74,24.41,0
09-11-2023_17-18-01,0.0,24.74,24.42,0
09-11-2023_17-18-01,0.0,24.73,24.42,0
09-11-2023_17-18-01,0.0002777777777777778,24.73,24.42,0
09-11-2023_17-18-02,0.0002777777777777778,24.74,24.43,0
09-11-2023_17-18-02,0.0002777777777777778,24.74,24.43,0
09-11-2023_17-18-02,0.0002777777777777778,24.74,24.43,0
09-11-2023_17-18-02,0.0005555555555555556,24.73,24.46,0
09-11-2023_17-18-03,0.0005555555555555556,24.74,24.47,0
09-11-2023_17-18-03,0.0005555555555555556,24.74,24.48,0
09-11-2023_17-18-03,0.0005555555555555556,24.74,24.48,0
09-11-2023_17-18-03,0.0008333333333333334,24.74,24.48,0
09-11-2023_17-18-04,0.0008333333333333334,24.74,24.47,0
09-11-2023_17-18-04,0.0008333333333333334,24.74,24.48,0
09-11-2023_17-18-04,0.0008333333333333334,24.74,24.48,0
09-11-2023_17-18-04,0.0011111111111111111,24.74,24.48,0
09-11-2023_17-18-05,0.0011111111111111111,24.74,24.48,0
09-11-2023_17-18-05,0.0011111111111111111,24.74,24.49,0
09-11-2023_17-18-05,0.0011111111111111111,24.74,24.48,0
09-11-2023_17-18-05,0.001388888888888889,24.74,24.49,0
09-11-2023_17-18-06,0.001388888888888889,24.74,24.49,0
09-11-2023_17-18-06,0.001388888888888889,24.74,24.49,0
09-11-2023_17-18-06,0.001388888888888889,24.75,24.5,0
09-11-2023_17-18-06,0.0016666666666666668,24.74,24.49,0
09-11-2023_17-18-07,0.0016666666666666668,24.74,24.5,0
09-11-2023_17-18-07,0.0016666666666666668,24.75,24.49,0
09-11-2023_17-18-07,0.0016666666666666668,24.74,24.49,0
09-11-2023_17-18-07,0.0019444444444444444,24.75,24.49,0
09-11-2023_17-18-08,0.0019444444444444444,24.75,24.49,0
09-11-2023_17-18-08,0.0019444444444444444,24.74,24.49,0
09-11-2023_17-18-08,0.0019444444444444444,24.74,24.5,0
09-11-2023_17-18-08,0.0022222222222222222,24.75,24.5,0
09-11-2023_17-18-09,0.0022222222222222222,24.75,24.5,0
09-11-2023_17-18-09,0.0022222222222222222,24.75,24.5,0
09-11-2023_17-18-09,0.0022222222222222222,24.75,24.5,0
09-11-2023_17-18-09,0.0025,24.75,24.49,0
09-11-2023_17-18-10,0.0025,24.75,24.49,0
09-11-2023_17-18-10,0.0025,24.75,24.49,0
09-11-2023_17-18-10,0.0025,24.74,24.5,0
09-11-2023_17-18-10,0.002777777777777778,24.75,24.49,0
09-11-2023_17-18-11,0.002777777777777778,24.75,24.5,0
09-11-2023_17-18-11,0.002777777777777778,24.75,24.5,0
09-11-2023_17-18-11,0.002777777777777778,24.74,24.5,0
09-11-2023_17-18-11,0.0030555555555555557,24.75,24.5,0
09-11-2023_17-18-12,0.0030555555555555557,24.75,24.5,0
09-11-2023_17-18-12,0.0030555555555555557,24.75,24.49,0
09-11-2023_17-18-12,0.0030555555555555557,24.75,24.49,0
09-11-2023_17-18-12,0.0033333333333333335,24.74,24.49,0
09-11-2023_17-18-13,0.0033333333333333335,24.75,24.49,0
09-11-2023_17-18-13,0.0033333333333333335,24.75,24.49,0
09-11-2023_17-18-13,0.0033333333333333335,24.74,24.49,0
09-11-2023_17-18-13,0.003611111111111111,24.75,24.5,0
09-11-2023_17-18-14,0.003611111111111111,24.74,24.5,0
09-11-2023_17-18-14,0.003611111111111111,24.75,24.5,0
09-11-2023_17-18-14,0.003611111111111111,24.75,24.5,0
09-11-2023_17-18-14,0.0038888888888888888,24.75,24.5,0
09-11-2023_17-18-15,0.0038888888888888888,24.75,24.51,0
09-11-2023_17-18-15,0.0038888888888888888,24.75,24.5,0
09-11-2023_17-18-15,0.0038888888888888888,24.75,24.49,0
09-11-2023_17-18-15,0.004166666666666667,24.75,24.49,0
09-11-2023_17-18-16,0.004166666666666667,24.75,24.49,0
09-11-2023_17-18-16,0.004166666666666667,24.75,24.49,0
09-11-2023_17-18-16,0.004166666666666667,24.75,24.49,0
09-11-2023_17-18-16,0.0044444444444444444,24.75,24.5,0
09-11-2023_17-18-17,0.0044444444444444444,24.75,24.52,0
09-11-2023_17-18-17,0.0044444444444444444,24.75,24.53,0
09-11-2023_17-18-17,0.0044444444444444444,24.75,24.53,0
09-11-2023_17-18-17,0.004722222222222222,24.75,24.53,0
09-11-2023_17-18-18,0.004722222222222222,24.75,24.53,0
09-11-2023_17-18-18,0.004722222222222222,24.75,24.53,0
09-11-2023_17-18-18,0.004722222222222222,24.75,24.54,0
09-11-2023_17-18-18,0.005,24.75,24.54,0
09-11-2023_17-18-19,0.005,24.75,24.55,0
09-11-2023_17-18-19,0.005,24.75,24.55,0
09-11-2023_17-18-19,0.005,24.75,24.55,0
09-11-2023_17-18-19,0.005277777777777778,24.75,24.55,0
09-11-2023_17-18-20,0.005277777777777778,24.75,24.56,0
09-11-2023_17-18-20,0.005277777777777778,24.75,24.55,0
09-11-2023_17-18-20,0.005277777777777778,24.76,24.55,0
09-11-2023_17-18-20,0.005555555555555556,24.75,24.55,0
09-11-2023_17-18-21,0.005555555555555556,24.75,24.56,0
09-11-2023_17-18-21,0.005555555555555556,24.76,24.56,0
09-11-2023_17-18-21,0.005555555555555556,24.75,24.55,0
09-11-2023_17-18-21,0.005833333333333334,24.75,24.56,0
09-11-2023_17-18-22,0.005833333333333334,24.76,24.56,0
09-11-2023_17-18-22,0.005833333333333334,24.75,24.56,0
09-11-2023_17-18-22,0.005833333333333334,24.75,24.56,0
09-11-2023_17-18-22,0.006111111111111111,24.76,24.56,0
09-11-2023_17-18-23,0.006111111111111111,24.75,24.55,0
09-11-2023_17-18-23,0.006111111111111111,24.76,24.56,0
09-11-2023_17-18-23,0.006111111111111111,24.76,24.56,0
09-11-2023_17-18-23,0.006388888888888889,24.75,24.56,0
09-11-2023_17-18-24,0.006388888888888889,24.75,24.57,0
09-11-2023_17-18-24,0.006388888888888889,24.75,24.57,0
09-11-2023_17-18-24,0.006388888888888889,24.75,24.57,0
09-11-2023_17-18-24,0.006666666666666667,24.75,24.58,0
09-11-2023_17-18-25,0.006666666666666667,24.75,24.58,0
