Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
20-11-2023_17-55-31,0,0.11,0.972,2.772,50.229,27.168,27.209,70.495,-0.393,0.0,0.0
20-11-2023_17-55-36,4,0.11,0.972,2.772,50.268,27.122,27.187,69.283,2.632,0.0,0.0
20-11-2023_17-55-41,9,0.11,0.972,2.773,50.286,27.085,27.183,68.165,2.571,0.0,0.0
20-11-2023_17-55-46,14,0.11,0.971,2.774,50.299,27.051,27.178,67.009,2.607,0.0,0.0
20-11-2023_17-55-51,19,0.11,0.97,2.774,50.343,27.089,27.137,65.83,2.584,0.0,0.0
20-11-2023_17-55-56,24,0.11,0.97,2.773,50.261,27.045,27.144,64.664,2.592,0.0,0.0
20-11-2023_17-56-01,29,0.11,0.969,2.771,50.253,27.064,27.132,63.587,2.514,0.0,0.0
20-11-2023_17-56-06,34,0.11,0.968,2.77,50.232,27.066,27.12,62.655,2.551,0.0,0.0
20-11-2023_17-56-11,39,0.11,0.967,2.771,50.239,27.072,27.157,61.722,2.336,0.0,0.0
20-11-2023_17-56-16,44,0.11,0.967,2.771,50.275,27.019,27.149,60.833,2.556,0.0,0.0
20-11-2023_17-56-21,49,0.11,0.967,2.767,50.202,27.034,27.154,59.959,2.518,0.0,0.0
20-11-2023_17-56-26,55,0.11,0.966,2.769,50.194,27.019,27.145,59.122,2.558,0.0,0.0
20-11-2023_17-56-31,60,0.11,0.965,2.771,50.225,27.04,27.148,58.381,2.543,0.0,0.0
20-11-2023_17-56-36,65,0.11,0.964,2.772,50.176,27.044,27.146,57.585,2.504,0.0,0.0
20-11-2023_17-56-41,70,0.11,0.964,2.773,50.209,27.028,27.146,56.82,2.57,0.0,0.0
20-11-2023_17-56-46,75,0.11,0.964,2.772,50.2,27.003,27.135,56.079,2.557,0.0,0.0
20-11-2023_17-56-51,80,0.11,0.962,2.773,50.194,27.001,27.149,55.403,2.611,0.0,0.0
20-11-2023_17-56-56,85,0.11,0.961,2.773,50.181,27.041,27.121,54.726,2.553,0.0,0.0
20-11-2023_17-57-01,90,0.11,0.961,2.772,50.166,27.041,27.133,54.067,2.465,0.0,0.0
20-11-2023_17-57-06,95,0.11,0.96,2.773,50.121,27.032,27.118,53.443,2.619,0.0,0.0
20-11-2023_17-57-11,100,0.11,0.959,2.772,50.178,27.039,27.128,52.793,2.617,0.0,0.0
20-11-2023_17-57-16,105,0.11,0.958,2.771,50.139,27.0,27.112,52.195,2.55,0.0,0.0
20-11-2023_17-57-21,110,0.11,0.958,2.771,50.086,26.997,27.128,51.568,2.549,0.0,0.0
20-11-2023_17-57-26,115,0.11,0.957,2.772,50.071,27.027,27.119,50.98,2.532,0.0,0.0
20-11-2023_17-57-31,120,0.11,0.956,2.772,50.099,27.0,27.113,50.423,2.487,0.0,0.0
20-11-2023_17-57-36,125,0.11,0.956,2.771,50.057,26.995,27.112,49.903,2.561,0.0,0.0
20-11-2023_17-57-41,130,0.11,0.954,2.772,50.012,27.021,27.11,49.433,2.578,0.0,0.0
20-11-2023_17-57-46,135,0.11,0.953,2.772,50.001,27.021,27.09,48.91,2.552,0.0,0.0
20-11-2023_17-57-51,140,0.11,0.951,2.772,50.042,27.023,27.082,48.412,2.603,0.0,0.0
20-11-2023_17-57-56,145,0.11,0.951,2.771,50.008,27.0,27.079,47.873,2.848,0.0,0.0
20-11-2023_17-58-01,150,0.11,0.951,2.773,50.036,26.985,27.054,47.339,2.554,0.0,0.0
20-11-2023_17-58-06,155,0.11,0.95,2.771,50.003,26.983,27.04,46.82,3.076,0.0,0.0
20-11-2023_17-58-11,160,0.11,0.948,2.771,49.958,26.994,27.064,46.45,2.548,0.0,2.8
20-11-2023_17-58-16,165,0.11,0.948,2.772,49.929,26.967,27.062,46.117,5.385,0.0,4.42
20-11-2023_17-58-22,170,0.11,0.947,2.773,49.915,26.96,27.051,45.694,4.692,0.0,5.88
20-11-2023_17-58-27,175,0.11,0.946,2.771,49.957,26.971,27.042,45.29,4.865,0.0,3.89
20-11-2023_17-58-32,180,0.11,0.945,2.77,49.877,26.97,27.052,45.011,4.498,0.0,9.39
