Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
21-11-2023_17-30-45,0,0.09,0.566,2.7,48.854,27.376,26.791,33.396,-0.505,0.0,0.0
21-11-2023_17-30-50,4,0.108,0.565,2.701,48.838,27.368,26.758,33.246,28.206,0.0,78.11
21-11-2023_17-30-55,9,0.107,0.564,2.703,48.833,27.338,26.767,33.214,34.859,0.0,87.0
21-11-2023_17-31-00,14,0.107,0.564,2.701,48.817,27.398,26.789,33.317,35.718,0.0,97.02
21-11-2023_17-31-05,19,0.108,0.564,2.7,48.84,27.43,26.809,33.548,42.17,0.0,104.42
21-11-2023_17-31-10,24,0.107,0.563,2.701,48.767,27.447,26.793,33.913,47.267,0.0,117.73
21-11-2023_17-31-15,29,0.107,0.563,2.702,48.847,27.44,26.779,34.309,51.924,0.0,121.57
21-11-2023_17-31-20,34,0.107,0.563,2.703,48.739,27.448,26.77,34.791,55.331,0.0,137.15
21-11-2023_17-31-25,39,0.107,0.565,2.704,48.744,27.452,26.784,35.335,58.075,0.0,146.02
21-11-2023_17-31-30,44,0.107,0.567,2.704,48.692,27.451,26.776,35.941,66.538,0.0,158.64
21-11-2023_17-31-35,49,0.106,0.57,2.703,48.73,27.436,26.812,36.646,68.4,0.0,165.95
21-11-2023_17-31-40,54,0.107,0.57,2.702,48.836,27.422,26.776,37.421,71.502,0.0,169.02
21-11-2023_17-31-45,60,0.107,0.57,2.702,48.776,27.446,26.758,38.277,72.278,0.0,181.89
21-11-2023_17-31-50,65,0.107,0.571,2.703,48.852,27.439,26.785,39.236,72.624,0.0,186.06
21-11-2023_17-31-55,70,0.107,0.571,2.704,48.888,27.475,26.778,40.2,74.18,0.0,192.15
21-11-2023_17-32-00,75,0.107,0.571,2.705,48.944,27.46,26.781,41.2,74.102,0.0,196.85
21-11-2023_17-32-05,80,0.107,0.571,2.704,48.983,27.464,26.78,42.218,77.591,0.0,202.26
21-11-2023_17-32-10,85,0.107,0.57,2.703,48.999,27.39,26.763,43.319,81.094,0.0,208.91
21-11-2023_17-32-15,90,0.107,0.569,2.704,49.01,27.386,26.787,44.389,85.793,0.0,215.87
21-11-2023_17-32-20,95,0.106,0.567,2.701,48.946,27.403,26.793,45.482,90.998,0.0,227.54
21-11-2023_17-32-25,100,0.106,0.566,2.703,48.775,27.401,26.793,46.859,96.237,0.0,246.5
21-11-2023_17-32-30,105,0.106,0.567,2.704,48.751,27.4,26.751,48.338,99.834,0.0,255.0
21-11-2023_17-32-35,110,0.106,0.567,2.704,48.793,27.406,26.763,49.797,99.465,0.0,255.0
21-11-2023_17-32-40,115,0.106,0.569,2.703,48.801,27.397,26.751,51.118,99.132,0.0,255.0
21-11-2023_17-32-45,120,0.106,0.569,2.705,48.759,27.364,26.769,52.48,98.951,0.0,255.0
21-11-2023_17-32-50,125,0.11,0.57,2.702,48.81,27.382,26.739,53.908,98.742,0.0,255.0
21-11-2023_17-32-55,130,0.107,0.57,2.701,48.841,27.357,26.797,55.233,98.434,0.0,255.0
21-11-2023_17-33-00,135,0.123,0.571,2.706,48.945,27.335,26.782,56.657,98.246,0.0,255.0
21-11-2023_17-33-05,140,0.227,0.571,2.704,48.878,27.339,26.764,58.045,98.006,0.0,255.0
21-11-2023_17-33-10,145,0.174,0.571,2.705,48.881,27.327,26.775,59.418,97.834,0.0,255.0
21-11-2023_17-33-15,150,0.374,0.571,2.705,48.896,27.338,26.768,60.811,97.754,0.0,255.0
21-11-2023_17-33-20,155,0.121,0.572,2.703,48.92,27.371,26.769,62.231,97.582,0.0,255.0
21-11-2023_17-33-25,160,0.107,0.573,2.703,48.939,27.372,26.789,63.453,97.458,0.0,255.0
21-11-2023_17-33-30,165,0.107,0.573,2.704,48.972,27.359,26.791,64.579,97.335,0.0,255.0
21-11-2023_17-33-35,170,0.107,0.573,2.705,48.998,27.353,26.794,65.59,97.196,0.0,255.0
21-11-2023_17-33-40,175,0.107,0.573,2.703,48.937,27.318,26.78,66.665,97.021,0.0,255.0
21-11-2023_17-33-45,180,0.107,0.576,2.705,48.915,27.332,26.802,67.616,96.924,0.0,255.0
21-11-2023_17-33-51,185,0.108,0.577,2.703,49.042,27.293,26.75,68.57,96.838,0.0,255.0
21-11-2023_17-33-56,190,0.107,0.576,2.704,48.895,27.32,26.753,69.566,96.704,0.0,255.0
21-11-2023_17-34-01,195,0.107,0.574,2.704,49.054,27.292,26.728,70.705,96.819,0.0,255.0
21-11-2023_17-34-06,200,0.107,0.575,2.703,48.978,27.279,26.743,71.879,96.699,0.0,255.0
21-11-2023_17-34-11,205,0.107,0.575,2.703,48.992,27.299,26.743,72.974,96.598,0.0,255.0
21-11-2023_17-34-16,210,0.107,0.576,2.704,49.005,27.312,26.732,73.862,96.508,0.0,255.0
21-11-2023_17-34-21,215,0.107,0.577,2.704,49.045,27.29,26.744,74.823,96.458,0.0,255.0
21-11-2023_17-34-26,220,0.107,0.577,2.703,48.971,27.278,26.744,75.711,96.31,0.0,255.0
21-11-2023_17-34-31,225,0.108,0.577,2.703,49.088,27.248,26.734,76.395,96.3,0.0,255.0
21-11-2023_17-34-36,230,0.107,0.577,2.704,49.122,27.267,26.704,77.149,96.317,0.0,255.0
21-11-2023_17-34-41,235,0.108,0.579,2.705,49.167,27.25,26.692,78.093,96.183,0.0,255.0
21-11-2023_17-34-46,240,0.107,0.579,2.704,49.137,27.278,26.696,79.298,96.117,0.0,255.0
21-11-2023_17-34-51,245,0.108,0.58,2.702,49.086,27.241,26.741,80.433,96.116,0.0,255.0
21-11-2023_17-34-56,250,0.108,0.58,2.702,49.179,27.243,26.711,81.428,95.976,0.0,255.0
21-11-2023_17-35-01,255,0.108,0.581,2.703,49.238,27.213,26.693,82.289,96.046,0.0,255.0
21-11-2023_17-35-06,260,0.108,0.581,2.703,49.238,27.224,26.704,82.846,95.94,0.0,255.0
21-11-2023_17-35-11,265,0.107,0.582,2.702,49.3,27.231,26.718,83.464,95.894,0.0,255.0
21-11-2023_17-35-16,270,0.108,0.582,2.701,49.349,27.274,26.737,84.012,95.79,0.0,255.0
21-11-2023_17-35-21,275,0.107,0.583,2.703,49.319,27.242,26.713,84.556,95.757,0.0,255.0
21-11-2023_17-35-26,280,0.107,0.583,2.703,49.327,27.202,26.703,85.166,95.782,0.0,255.0
21-11-2023_17-35-31,285,0.107,0.584,2.702,49.348,27.232,26.713,85.788,95.759,0.0,255.0
21-11-2023_17-35-36,290,0.107,0.584,2.704,49.263,27.196,26.699,86.354,95.728,0.0,255.0
21-11-2023_17-35-41,295,0.107,0.586,2.702,49.305,27.219,26.676,87.13,95.673,0.0,255.0
21-11-2023_17-35-46,300,0.108,0.587,2.703,49.34,27.296,26.692,87.865,95.569,0.0,255.0
21-11-2023_17-35-51,305,0.107,0.588,2.703,49.332,27.293,26.707,88.48,95.585,0.0,255.0
21-11-2023_17-35-56,310,0.107,0.589,2.702,49.421,27.306,26.666,88.932,95.438,0.0,255.0
21-11-2023_17-36-01,315,0.107,0.589,2.701,49.332,27.321,26.697,89.364,95.483,0.0,255.0
