Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
21-11-2023_11-14-27,0,0.142,0.409,2.733,49.273,26.646,25.697,44.797,53.288,0.0,142.0
21-11-2023_11-14-32,4,0.162,0.409,2.731,49.307,26.639,25.675,45.332,56.355,0.0,145.43
21-11-2023_11-14-37,9,0.158,0.409,2.733,49.264,26.647,25.678,45.865,61.098,0.0,153.49
21-11-2023_11-14-42,14,0.164,0.408,2.734,49.257,26.666,25.691,46.396,60.121,0.0,159.47
21-11-2023_11-14-47,19,0.164,0.409,2.734,49.223,26.657,25.711,46.916,63.79,0.0,167.07
21-11-2023_11-14-52,24,0.159,0.409,2.732,49.225,26.68,25.712,47.446,67.131,0.0,172.62
21-11-2023_11-14-57,29,0.159,0.409,2.732,49.239,26.653,25.703,48.038,67.027,0.0,177.67
21-11-2023_11-15-02,34,0.158,0.409,2.731,49.167,26.652,25.702,48.725,70.813,0.0,187.84
21-11-2023_11-15-07,39,0.161,0.409,2.733,49.221,26.656,25.72,49.433,72.703,0.0,190.44
21-11-2023_11-15-12,44,0.16,0.408,2.734,49.242,26.671,25.715,50.157,74.453,0.0,195.03
21-11-2023_11-15-17,49,0.164,0.408,2.733,49.193,26.706,25.736,51.006,75.686,0.0,204.03
21-11-2023_11-15-22,54,0.162,0.408,2.732,49.196,26.695,25.696,51.833,78.21,0.0,209.82
21-11-2023_11-15-27,59,0.161,0.408,2.732,49.193,26.694,25.744,52.635,81.162,0.0,216.1
21-11-2023_11-15-32,65,0.159,0.408,2.733,49.2,26.671,25.727,53.484,83.744,0.0,221.59
21-11-2023_11-15-37,70,0.158,0.409,2.735,49.229,26.709,25.742,54.361,84.205,0.0,225.94
21-11-2023_11-15-42,75,0.161,0.409,2.736,49.184,26.711,25.724,55.291,88.778,0.0,234.59
21-11-2023_11-15-47,80,0.162,0.408,2.734,49.225,26.692,25.745,56.266,90.066,0.0,238.12
