Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
15-11-2023_12-41-08,0,0.091,0.0,0.0,43.367,24.75,23.719,28.482,-0.049,0.0,0.0
15-11-2023_12-41-13,4,0.091,0.0,0.0,43.283,24.773,23.735,28.382,103.588,0.0,255.0
15-11-2023_12-41-18,9,0.09,0.0,0.0,43.217,24.777,23.723,28.696,102.389,0.0,255.0
15-11-2023_12-41-23,14,0.091,0.0,0.0,43.165,24.791,23.723,29.311,101.563,0.0,255.0
15-11-2023_12-41-28,19,0.09,0.0,0.0,43.256,24.818,23.721,30.071,101.017,0.0,255.0
15-11-2023_12-41-33,24,0.09,0.0,0.0,43.201,24.814,23.734,30.821,100.415,0.0,255.0
15-11-2023_12-41-38,29,0.09,0.0,0.0,43.201,24.797,23.745,31.66,100.02,0.0,255.0
15-11-2023_12-41-43,34,0.09,0.0,0.0,43.237,24.783,23.769,32.575,99.547,0.0,255.0
15-11-2023_12-41-48,39,0.091,0.0,0.0,43.13,24.809,23.765,33.428,99.202,0.0,255.0
15-11-2023_12-41-53,44,0.092,0.0,0.0,43.214,24.822,23.77,34.313,98.796,0.0,255.0
15-11-2023_12-41-58,49,0.091,0.0,0.0,43.119,24.841,23.763,35.153,98.49,0.0,255.0
15-11-2023_12-42-03,54,0.091,0.0,0.0,43.089,24.872,23.77,36.097,98.199,0.0,255.0
15-11-2023_12-42-08,59,0.091,0.0,0.0,43.013,24.876,23.788,37.075,97.914,0.0,255.0
15-11-2023_12-42-13,64,0.092,0.0,0.0,43.143,24.879,23.76,38.181,97.648,0.0,255.0
15-11-2023_12-42-18,69,0.092,0.0,0.0,43.159,24.894,23.764,39.406,97.392,0.0,255.0
15-11-2023_12-42-23,74,0.091,0.0,0.0,43.098,24.905,23.77,40.666,97.185,0.0,255.0
15-11-2023_12-42-28,79,0.092,0.0,0.0,43.131,24.928,23.755,42.04,96.986,0.0,255.0
15-11-2023_12-42-33,85,0.091,0.0,0.0,43.058,24.904,23.781,43.385,96.758,0.0,255.0
