Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
16-11-2023_17-51-56,0,0.1,1.561,0.0,26.043,28.353,27.848,29.688,-0.596,0.0,0.0
16-11-2023_17-52-01,4,0.101,1.563,0.0,26.022,28.354,27.856,29.729,108.074,0.0,255.0
16-11-2023_17-52-06,9,0.1,1.564,0.0,26.015,28.35,27.848,29.915,106.659,0.0,255.0
16-11-2023_17-52-11,14,0.1,1.565,0.0,26.007,28.35,27.843,30.315,105.805,0.0,255.0
16-11-2023_17-52-16,19,0.101,1.566,0.0,26.02,28.348,27.846,30.841,105.073,0.0,255.0
16-11-2023_17-52-21,24,0.1,1.568,0.0,26.027,28.326,27.842,31.648,104.468,0.0,255.0
16-11-2023_17-52-26,29,0.1,1.568,0.0,26.077,28.31,27.833,32.712,103.92,0.0,255.0
16-11-2023_17-52-31,34,0.1,1.569,0.0,26.07,28.295,27.805,33.872,103.419,0.0,255.0
16-11-2023_17-52-36,39,0.1,1.57,0.0,26.076,28.3,27.817,34.688,102.911,0.0,255.0
16-11-2023_17-52-41,44,0.1,1.571,0.0,26.12,28.312,27.828,35.341,102.494,0.0,255.0
16-11-2023_17-52-46,50,0.1,1.572,0.0,26.087,28.339,27.856,36.333,102.08,0.0,255.0
16-11-2023_17-52-51,55,0.1,1.573,0.0,26.137,28.369,27.866,37.239,101.769,0.0,255.0
16-11-2023_17-52-56,60,0.1,1.575,0.0,26.125,28.39,27.902,37.754,101.392,0.0,255.0
16-11-2023_17-53-01,65,0.1,1.575,0.0,26.192,28.421,27.928,38.32,101.088,0.0,255.0
16-11-2023_17-53-06,70,0.1,1.577,0.0,26.19,28.439,27.964,39.027,100.791,0.0,255.0
16-11-2023_17-53-11,75,0.1,1.578,0.0,26.212,28.466,27.992,39.977,100.508,0.0,255.0
16-11-2023_17-53-16,80,0.1,1.58,0.0,26.193,28.499,28.04,41.206,100.251,0.0,255.0
16-11-2023_17-53-21,85,0.1,1.581,0.0,26.236,28.532,28.069,42.636,100.019,0.0,255.0
16-11-2023_17-53-26,90,0.1,1.582,0.0,26.233,28.564,28.095,44.27,99.807,0.0,255.0
16-11-2023_17-53-31,95,0.1,1.583,0.0,26.258,28.604,28.133,45.542,99.55,0.0,255.0
16-11-2023_17-53-36,100,0.1,1.584,0.0,26.298,28.617,28.17,47.073,99.365,0.0,255.0
16-11-2023_17-53-41,105,0.1,1.586,0.0,26.299,28.633,28.208,48.498,99.137,0.0,255.0
16-11-2023_17-53-46,110,0.1,1.588,0.0,26.306,28.642,28.232,50.046,98.977,0.0,255.0
16-11-2023_17-53-51,115,0.1,1.589,0.0,26.375,28.661,28.25,51.002,98.841,0.0,255.0
16-11-2023_17-53-57,120,0.101,1.591,0.0,26.416,28.688,28.292,51.92,98.668,0.0,255.0
16-11-2023_17-54-02,125,0.1,1.592,0.0,26.45,28.725,28.318,52.307,98.522,0.0,255.0
16-11-2023_17-54-07,130,0.1,1.593,0.0,26.496,28.754,28.369,53.249,98.342,0.0,255.0
16-11-2023_17-54-12,135,0.1,1.595,0.0,26.505,28.788,28.394,54.303,98.172,0.0,255.0
16-11-2023_17-54-17,140,0.1,1.596,0.0,26.547,28.817,28.431,55.381,98.084,0.0,255.0
16-11-2023_17-54-22,145,0.1,1.598,0.0,26.559,28.863,28.467,56.111,97.945,0.0,255.0
16-11-2023_17-54-27,150,0.1,1.599,0.0,26.652,28.901,28.506,56.954,97.848,0.0,255.0
16-11-2023_17-54-32,155,0.101,1.601,0.0,26.644,28.923,28.536,57.677,97.723,0.0,255.0
16-11-2023_17-54-37,160,0.1,1.602,0.0,26.667,28.947,28.561,58.454,97.608,0.0,255.0
16-11-2023_17-54-42,165,0.1,1.604,0.0,26.689,28.959,28.583,59.526,97.498,0.0,255.0
16-11-2023_17-54-47,170,0.1,1.606,0.0,26.759,28.991,28.614,60.419,97.411,0.0,255.0
16-11-2023_17-54-52,175,0.1,1.608,0.0,26.773,29.0,28.655,61.085,97.307,0.0,255.0
16-11-2023_17-54-57,180,0.1,1.609,0.0,26.827,29.042,28.683,61.507,97.206,0.0,255.0
16-11-2023_17-55-02,185,0.1,1.61,0.0,26.882,29.083,28.717,61.438,97.114,0.0,255.0
16-11-2023_17-55-07,190,0.1,1.612,0.0,26.924,29.13,28.769,61.549,97.027,0.0,255.0
16-11-2023_17-55-12,195,0.1,1.613,0.0,26.956,29.142,28.807,62.241,96.975,0.0,255.0
16-11-2023_17-55-17,200,0.101,1.615,0.0,27.024,29.177,28.831,63.23,96.846,0.0,255.0
16-11-2023_17-55-22,205,0.1,1.617,0.0,26.969,29.212,28.862,64.356,96.794,0.0,255.0
16-11-2023_17-55-27,210,0.1,1.618,0.0,27.059,29.245,28.891,64.931,96.689,0.0,255.0
16-11-2023_17-55-32,215,0.101,1.62,0.0,27.111,29.244,28.914,65.09,96.642,0.0,255.0
