Date,Time,Biomass,Dissolved_oxygen,pH,T_heater,T_liquid,T_sensor,T_amb,Power,PWM_feed,PWM_heater
08-01-2024_13-15-26,0,0.031,0.0,-3.511,22.435,22.582,21.942,22.001,-0.082,150.0,0.0
08-01-2024_13-15-26,0,0.031,0.0,-3.511,22.437,22.5,21.937,21.997,0.005,150.0,0.0
08-01-2024_13-15-26,0,0.031,0.0,-3.511,22.436,22.593,21.922,21.998,0.068,150.0,0.0
08-01-2024_13-15-27,0,0.031,0.0,-3.511,22.435,22.519,21.953,22.0,0.102,150.0,0.0
08-01-2024_13-15-27,0,0.031,0.0,-3.511,22.429,22.618,21.93,22.002,0.1,150.0,0.0
08-01-2024_13-15-27,1,0.031,0.0,-3.511,22.436,22.531,21.922,22.003,0.079,150.0,0.0
08-01-2024_13-15-27,1,0.031,0.0,-3.511,22.432,22.509,21.938,21.999,0.063,150.0,0.0
08-01-2024_13-15-28,1,0.031,0.0,-3.511,22.438,22.599,21.945,21.994,0.065,150.0,0.0
08-01-2024_13-15-28,1,0.031,0.0,-3.511,22.429,22.628,21.918,21.99,0.062,150.0,0.0
08-01-2024_13-15-28,2,0.031,0.0,-3.511,22.427,22.537,21.953,21.994,0.075,150.0,0.0
08-01-2024_13-15-28,2,0.031,0.0,-3.511,22.438,22.475,21.934,21.996,0.082,150.0,0.0
08-01-2024_13-15-29,2,0.031,0.0,-3.511,22.436,22.591,21.917,21.995,0.072,150.0,0.0
08-01-2024_13-15-29,2,0.031,0.0,-3.511,22.434,22.52,21.942,21.989,0.099,150.0,0.0
08-01-2024_13-15-29,3,0.031,0.0,-3.511,22.426,22.53,21.918,21.991,0.055,150.0,0.0
08-01-2024_13-15-29,3,0.031,0.0,-3.511,22.434,22.613,21.94,21.992,0.056,150.0,0.0
08-01-2024_13-15-30,3,0.031,0.0,-3.511,22.434,22.529,21.923,21.988,0.082,150.0,0.0
08-01-2024_13-15-30,3,0.031,0.0,-3.511,22.424,22.597,21.915,21.993,0.067,150.0,0.0
08-01-2024_13-15-30,4,0.031,0.0,-3.511,22.429,22.562,21.919,21.991,0.071,150.0,0.0
08-01-2024_13-15-30,4,0.031,0.0,-3.511,22.435,22.559,21.936,21.989,0.106,150.0,0.0
08-01-2024_13-15-31,4,0.031,0.0,-3.511,22.429,22.531,21.933,21.988,0.068,150.0,0.0
08-01-2024_13-15-31,4,0.031,0.0,-3.511,22.432,22.616,21.919,21.987,0.111,150.0,0.0
08-01-2024_13-15-31,5,0.031,0.0,-3.511,22.44,22.585,21.925,21.987,0.099,150.0,0.0
08-01-2024_13-15-31,5,0.031,0.0,-3.511,22.438,22.528,21.929,21.985,0.087,150.0,0.0
08-01-2024_13-15-32,5,0.031,0.0,-3.511,22.432,22.542,21.926,21.987,0.067,150.0,0.0
08-01-2024_13-15-32,5,0.031,0.0,-3.511,22.432,22.541,21.913,21.99,0.095,150.0,0.0
08-01-2024_13-15-32,6,0.031,0.0,-3.511,22.427,22.595,21.911,21.985,0.088,150.0,0.0
08-01-2024_13-15-33,6,0.031,0.0,-3.511,22.429,22.608,21.924,21.991,0.052,150.0,0.0
08-01-2024_13-15-33,6,0.031,0.0,-3.511,22.437,22.63,21.92,21.989,0.062,150.0,0.0
08-01-2024_13-15-33,6,0.031,0.0,-3.511,22.433,22.539,21.928,21.986,0.103,150.0,0.0
08-01-2024_13-15-33,7,0.031,0.0,-3.511,22.428,22.56,21.923,21.986,0.074,150.0,0.0
08-01-2024_13-15-34,7,0.031,0.0,-3.511,22.424,22.571,21.902,21.988,0.078,150.0,0.0
08-01-2024_13-15-34,7,0.031,0.0,-3.511,22.431,22.525,21.928,21.989,0.066,150.0,0.0
08-01-2024_13-15-34,7,0.031,0.0,-3.511,22.434,22.561,21.937,21.995,0.111,150.0,0.0
08-01-2024_13-15-34,8,0.031,0.0,-3.511,22.429,22.545,21.924,21.984,0.065,150.0,0.0
08-01-2024_13-15-35,8,0.031,0.0,-3.511,22.448,22.504,21.943,21.985,0.101,150.0,0.0
08-01-2024_13-15-35,8,0.031,0.0,-3.511,22.444,22.524,21.933,21.986,0.07,150.0,0.0
