Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
11-12-2023_13-33-51,0,0.225,1.308,2.178,49.347,24.559,24.029,24.575,-0.426,0.0,0.0
11-12-2023_13-33-56,4,0.215,1.303,2.177,49.312,24.548,24.018,24.552,84.815,0.0,181.19
11-12-2023_13-34-01,9,0.214,1.3,2.176,49.327,24.559,24.035,24.561,95.319,0.0,200.52
11-12-2023_13-34-06,14,0.214,1.301,2.176,49.178,24.666,24.059,24.66,100.601,0.0,230.58
11-12-2023_13-34-11,19,0.157,1.305,2.176,49.138,24.762,24.054,24.863,110.125,0.0,254.25
11-12-2023_13-34-16,24,0.582,1.3,2.175,48.682,24.74,24.025,24.977,108.379,0.0,255.0
11-12-2023_13-34-21,29,0.645,1.301,2.176,48.276,24.716,24.052,25.307,107.199,0.0,255.0
11-12-2023_13-34-26,34,0.622,1.301,2.177,47.469,24.644,24.032,25.788,103.134,0.0,255.0
11-12-2023_13-34-31,39,0.657,1.297,2.178,36.256,24.629,24.037,26.366,102.384,0.0,255.0
11-12-2023_13-34-36,45,0.596,1.292,2.179,29.622,24.666,24.01,26.932,101.724,0.0,255.0
11-12-2023_13-34-41,50,0.668,1.291,2.179,28.461,24.715,24.038,27.595,101.17,0.0,255.0
11-12-2023_13-34-46,55,0.669,1.288,2.177,26.005,24.792,24.03,28.537,100.664,0.0,255.0
11-12-2023_13-34-51,60,0.67,1.289,2.177,24.407,24.877,24.042,29.252,100.232,0.0,255.0
11-12-2023_13-34-56,65,0.67,1.289,2.178,24.353,24.924,24.048,29.951,99.82,0.0,255.0
11-12-2023_13-35-01,70,0.67,1.291,2.179,24.422,24.931,24.026,30.875,99.461,0.0,255.0
11-12-2023_13-35-06,75,0.67,1.293,2.18,24.509,24.904,24.023,31.657,99.107,0.0,255.0
11-12-2023_13-35-11,80,0.67,1.293,2.179,24.539,24.818,24.041,32.296,98.755,0.0,255.0
11-12-2023_13-35-16,85,0.67,1.291,2.179,24.601,24.719,24.068,32.99,98.45,0.0,255.0
11-12-2023_13-35-21,90,0.671,1.293,2.179,24.65,24.606,24.075,33.784,98.331,0.0,255.0
11-12-2023_13-35-26,95,0.67,1.292,2.18,24.737,24.568,24.125,34.754,97.994,0.0,255.0
11-12-2023_13-35-31,100,0.671,1.294,2.181,24.788,24.499,24.109,35.566,97.689,0.0,255.0
11-12-2023_13-35-36,105,0.671,1.298,2.182,24.851,24.434,24.098,36.421,97.438,0.0,255.0
11-12-2023_13-35-41,110,0.671,1.289,2.181,24.916,24.328,24.073,37.455,97.161,0.0,255.0
11-12-2023_13-35-46,115,0.671,1.288,2.182,24.977,24.26,24.018,38.61,96.908,0.0,255.0
11-12-2023_13-35-52,120,0.671,1.287,2.182,25.046,24.196,24.013,39.568,96.682,0.0,255.0
11-12-2023_13-35-57,125,0.671,1.286,2.181,25.125,24.174,24.001,40.273,96.415,0.0,255.0
11-12-2023_13-36-02,130,0.671,1.283,2.182,25.161,24.233,24.034,40.693,96.23,0.0,255.0
11-12-2023_13-36-07,135,0.671,1.279,2.18,25.263,24.285,24.047,41.08,96.004,0.0,255.0
11-12-2023_13-36-12,140,0.671,1.282,2.18,25.319,24.309,24.05,41.525,95.77,0.0,255.0
11-12-2023_13-36-17,145,0.672,1.283,2.179,25.383,24.353,24.029,42.391,95.612,0.0,255.0
11-12-2023_13-36-22,150,0.672,1.282,2.181,25.465,24.363,24.051,43.565,95.437,0.0,255.0
11-12-2023_13-36-27,155,0.672,1.279,2.182,25.542,24.379,24.049,44.495,95.24,0.0,255.0
11-12-2023_13-36-32,160,0.672,1.276,2.181,25.64,24.287,24.059,45.302,95.059,0.0,255.0
11-12-2023_13-36-37,165,0.672,1.276,2.182,25.705,24.251,24.002,46.125,94.889,0.0,255.0
11-12-2023_13-36-42,170,0.671,1.276,2.181,25.802,24.227,24.012,46.95,94.741,0.0,255.0
11-12-2023_13-36-47,175,0.671,1.273,2.182,25.887,24.156,24.022,47.919,94.579,0.0,255.0
11-12-2023_13-36-52,180,0.671,1.27,2.184,25.944,24.071,23.987,48.827,94.412,0.0,255.0
11-12-2023_13-36-57,185,0.671,1.269,2.181,26.031,24.052,24.0,49.026,94.311,0.0,255.0
11-12-2023_13-37-02,190,0.671,1.27,2.183,26.129,24.086,24.048,48.903,94.131,0.0,255.0
11-12-2023_13-37-07,195,0.671,1.272,2.182,26.225,24.202,24.046,49.128,93.974,0.0,255.0
11-12-2023_13-37-12,200,0.671,1.272,2.183,26.186,24.247,24.031,49.577,93.907,0.0,255.0
11-12-2023_13-37-17,205,0.671,1.273,2.183,26.193,24.291,24.072,50.191,93.76,0.0,255.0
11-12-2023_13-37-22,210,0.671,1.276,2.182,26.243,24.256,24.084,50.725,93.57,0.0,255.0
11-12-2023_13-37-27,215,0.671,1.275,2.182,26.43,24.28,24.102,51.029,93.436,0.0,255.0
11-12-2023_13-37-32,220,0.671,1.278,2.183,26.535,24.269,24.096,51.154,93.472,0.0,255.0
11-12-2023_13-37-37,225,0.671,1.274,2.184,26.613,24.273,24.111,51.672,93.37,0.0,255.0
11-12-2023_13-37-42,230,0.671,1.272,2.184,25.728,24.311,24.142,52.201,93.241,0.0,255.0
11-12-2023_13-37-47,235,0.671,1.274,2.183,26.193,24.438,24.179,52.572,93.218,0.0,255.0
11-12-2023_13-37-52,240,0.671,1.272,2.185,26.674,24.534,24.195,52.946,93.235,0.0,255.0
11-12-2023_13-37-57,245,0.671,1.274,2.185,28.818,24.596,24.184,53.611,93.237,0.0,255.0
11-12-2023_13-38-02,250,0.671,1.268,2.184,29.283,24.643,24.198,54.346,93.187,0.0,255.0
11-12-2023_13-38-07,255,0.671,1.267,2.184,28.467,24.699,24.203,54.859,93.091,0.0,255.0
11-12-2023_13-38-12,260,0.671,1.264,2.184,28.976,24.654,24.207,54.866,93.069,0.0,255.0
11-12-2023_13-38-17,265,0.671,1.263,2.186,29.747,24.639,24.223,55.49,93.074,0.0,255.0
11-12-2023_13-38-22,270,0.671,1.263,2.186,29.788,24.618,24.199,56.376,92.872,0.0,255.0
11-12-2023_13-38-27,275,0.671,1.263,2.185,29.158,24.611,24.198,57.407,92.83,0.0,255.0
11-12-2023_13-38-32,280,0.671,1.261,2.184,30.529,24.552,24.173,58.637,92.901,0.0,255.0
11-12-2023_13-38-37,285,0.671,1.26,2.186,31.828,24.459,24.17,60.287,92.989,0.0,255.0
11-12-2023_13-38-42,290,0.671,1.26,2.186,32.531,24.383,24.17,61.207,93.001,0.0,255.0
11-12-2023_13-38-47,295,0.671,1.263,2.186,32.75,24.36,24.199,61.689,92.922,0.0,255.0
11-12-2023_13-38-52,300,0.671,1.263,2.187,32.648,24.335,24.212,62.712,92.938,0.0,255.0
11-12-2023_13-38-57,305,0.671,1.263,2.185,33.892,24.307,24.215,63.088,93.06,0.0,255.0
11-12-2023_13-39-02,310,0.671,1.262,2.185,33.68,24.326,24.232,63.601,93.279,0.0,255.0
11-12-2023_13-39-07,315,0.671,1.26,2.186,33.873,24.293,24.208,64.425,93.399,0.0,255.0
11-12-2023_13-39-12,320,0.671,1.263,2.187,34.54,24.246,24.159,65.377,93.388,0.0,255.0
11-12-2023_13-39-17,325,0.671,1.26,2.182,35.034,24.162,24.169,65.707,93.326,0.0,255.0
11-12-2023_13-39-22,330,0.671,1.26,2.184,34.725,24.134,24.112,66.053,93.345,0.0,255.0
11-12-2023_13-39-27,335,0.664,1.258,2.186,35.33,24.131,24.114,66.564,96.595,0.0,255.0
11-12-2023_13-39-32,340,0.67,1.262,2.187,35.539,24.164,24.161,66.875,96.705,0.0,255.0
11-12-2023_13-39-37,345,0.671,1.268,2.187,36.469,24.189,24.17,67.135,96.7,0.0,255.0
11-12-2023_13-39-42,350,0.671,1.27,2.186,36.852,24.213,24.226,67.511,96.652,0.0,255.0
11-12-2023_13-39-47,355,0.671,1.268,2.188,37.153,24.242,24.241,67.213,96.549,0.0,255.0
11-12-2023_13-39-52,360,0.671,1.264,2.187,37.729,24.292,24.239,66.756,96.428,0.0,255.0
11-12-2023_13-39-57,365,0.687,1.259,2.184,37.339,24.341,24.236,66.648,93.127,0.0,255.0
11-12-2023_13-40-02,370,0.687,1.263,2.187,36.858,24.364,24.243,67.017,93.104,0.0,255.0
11-12-2023_13-40-07,376,0.687,1.266,2.188,36.411,24.368,24.209,67.456,93.25,0.0,255.0
11-12-2023_13-40-12,381,0.687,1.263,2.187,36.56,24.28,24.173,68.154,93.325,0.0,255.0
11-12-2023_13-40-17,386,0.687,1.288,2.188,36.973,24.271,24.195,68.772,93.318,0.0,255.0
11-12-2023_13-40-22,391,0.687,1.314,2.189,37.357,24.281,24.219,69.295,93.287,0.0,255.0
11-12-2023_13-40-27,396,0.686,1.325,2.188,37.459,24.268,24.233,69.139,93.218,0.0,255.0
11-12-2023_13-40-32,401,0.686,1.331,2.189,37.512,24.251,24.213,69.156,93.105,0.0,255.0
11-12-2023_13-40-37,406,0.686,1.333,2.187,37.753,24.279,24.24,69.168,92.976,0.0,255.0
11-12-2023_13-40-42,411,0.686,1.332,2.188,37.892,24.362,24.21,69.039,92.879,0.0,255.0
11-12-2023_13-40-47,416,0.686,1.332,2.189,38.058,24.429,24.245,69.499,92.764,0.0,255.0
