Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
20-11-2023_12-19-27,0,0.571,0.0,1.66,26.252,25.811,25.456,23.449,-0.683,0.0,0.0
20-11-2023_12-19-31,4,0.539,0.0,1.66,26.277,25.82,25.453,23.443,-0.652,0.0,255.0
20-11-2023_12-19-37,9,0.54,0.0,1.66,26.293,25.826,25.457,23.445,-0.663,0.0,255.0
20-11-2023_12-19-42,14,0.541,0.0,1.661,26.26,25.804,25.453,23.431,-0.65,0.0,255.0
20-11-2023_12-19-47,19,0.541,0.0,1.66,26.266,25.817,25.454,23.441,-0.624,0.0,255.0
20-11-2023_12-19-52,24,0.541,0.0,1.66,26.264,25.817,25.47,23.436,-0.657,0.0,255.0
20-11-2023_12-19-57,29,0.541,0.0,1.66,26.28,25.816,25.466,23.446,-0.68,0.0,255.0
20-11-2023_12-20-02,34,0.541,0.0,1.659,26.282,25.822,25.464,23.439,-0.681,0.0,255.0
20-11-2023_12-20-07,39,0.541,0.0,1.659,26.282,25.815,25.47,23.437,-0.653,0.0,255.0
20-11-2023_12-20-12,44,0.541,0.0,1.659,26.277,25.816,25.468,23.444,-0.679,0.0,255.0
20-11-2023_12-20-17,49,0.541,0.0,1.66,26.273,25.812,25.472,23.451,-0.672,0.0,255.0
20-11-2023_12-20-22,54,0.541,0.0,1.66,26.266,25.816,25.471,23.424,-0.606,0.0,255.0
20-11-2023_12-20-27,59,0.541,0.0,1.661,26.277,25.812,25.46,23.398,-0.652,0.0,255.0
20-11-2023_12-20-32,64,0.541,0.0,1.661,26.271,25.811,25.476,23.382,-0.701,0.0,255.0
20-11-2023_12-20-37,70,0.541,0.0,1.66,26.285,25.821,25.483,23.37,-0.75,0.0,255.0
20-11-2023_12-20-42,75,0.541,0.0,1.66,26.269,25.817,25.484,23.364,-0.786,0.0,255.0
20-11-2023_12-20-47,80,0.541,0.0,1.662,26.292,25.819,25.491,23.354,-0.734,0.0,255.0
20-11-2023_12-20-52,85,0.541,0.0,1.66,26.277,25.808,25.474,23.354,-0.743,0.0,255.0
20-11-2023_12-20-57,90,0.541,0.0,1.663,26.289,25.814,25.49,23.353,-0.754,0.0,255.0
20-11-2023_12-21-02,95,0.541,0.0,1.662,26.304,25.813,25.484,23.345,-0.729,0.0,255.0
20-11-2023_12-21-07,100,0.541,0.0,1.66,26.27,25.809,25.487,23.358,-0.71,0.0,255.0
20-11-2023_12-21-12,105,0.541,0.0,1.659,26.296,25.816,25.488,23.37,-0.71,0.0,255.0
